05/06/2024 | Prima Prova | 5 | 5
05/06/2024 | Seconda prova di oggi | 1 | 7
05/06/2024 | cdcdcd | 1 | 1
05/06/2024 | dddd | 1 | 1
05/06/2024 | dddd | 1 | 1
05/06/2024 | Prova Quasi finale
05/06/2024 | xxxxxx
05/06/2024 | a
05/06/2024 | aa
05/06/2024 20:21:25 | qq
05/06/2024 20:21:30 | zzz
05/06/2024 20:26:15 | Prova Finale
05/06/2024 20:27:40 | dcdccd
05/06/2024 20:37:52 | fff
05/06/2024 20:47:01 | zzz
05/06/2024 20:48:01 | zzz
05/06/2024 20:49:15 | Prova prova
05/06/2024 20:59:14 | dddd
05/06/2024 21:00:44 | zz
05/06/2024 21:01:16 | cccc
05/06/2024 21:01:57 | xxxx
05/06/2024 21:03:23 | qqqq
